"","Total Number of reads for each species across all samples"
"Bradyrhizobium paxllaeri",870
"Bradyrhizobium quebecense",768
"Bradyrhizobium septentrionale",528
"Bradyrhizobium sp. 1(2017)",526
"Bradyrhizobium sp. 144S4",711
"Bradyrhizobium sp. 323S2",850
"Bradyrhizobium sp. 41S5",495
"Bradyrhizobium sp. 6(2017)",651
"Bradyrhizobium sp. A19",776
"Bradyrhizobium sp. BTAi1",1176
"Bradyrhizobium sp. CCBAU 051011",991
"Bradyrhizobium sp. CCBAU 51753",939
"Bradyrhizobium sp. CCBAU 51765",437
"Bradyrhizobium sp. CCBAU 53338",814
"Bradyrhizobium sp. CCBAU 53340",1042
"Bradyrhizobium sp. CCBAU 53351",920
"Bradyrhizobium sp. CCBAU 53421",718
"Bradyrhizobium sp. CCGE-LA001",518
"Bradyrhizobium sp. I71",440
"Bradyrhizobium sp. LCT2",328
"Bradyrhizobium sp. ORS 278",785
"Bradyrhizobium sp. ORS 285",856
"Bradyrhizobium sp. S2-11-2",371
"Bradyrhizobium sp. S2-11-4",278
"Bradyrhizobium sp. S2-20-1",300
"Bradyrhizobium sp. SG09",428
"Bradyrhizobium sp. SK17",1011
"Bradyrhizobium sp. TM102",379
"Bradyrhizobium sp.",1200
"Bradyrhizobium symbiodeficiens",731
"Bradyrhizobium vignae",618
"Bradyrhizobium zhanjiangense",616
"Nitrobacter hamburgensis",561
"Nitrobacter winogradskyi",351
"Rhodopseudomonas boonkerdii",1170
"Rhodopseudomonas palustris",3656
"Rhodopseudomonas sp. SK50-23",688
"Tardiphaga robiniae",377
"Tardiphaga sp. 37S4",840
"Tardiphaga sp. vice154",182
"Tardiphaga sp. vice278",122
"Tardiphaga sp. vice352",76
"Variibacter gotjawalensis",692
"Breoghania sp. L-A4",920
"Brucella [Ochrobactrum] quorumnocens",1182
"Brucella anthropi",7519
"Brucella inopinata",87
"Brucella intermedia",1067
"Brucella melitensis",231
"Brucella pinnipedialis",162
"Brucella pituitosa",1163
"Brucella pseudogrignonensis",4692
"Brucella sp. 09RB8471",103
"Brucella sp. 09RB8910",51
"Brucella sp. 10RB9215",94
"Brucella sp. 458",21
"Brucella sp. 6810",28
"Brucella sp. BO3",19
"Brucella sp. BTU1",1015
"Pseudochrobactrum algeriensis",420
"Pseudochrobactrum sp. Wa41.01b-1",369
"Pseudochrobactrum sp. XF203",403
"Chelatococcus daeguensis",667
"Chelatococcus sp. CO-6",865
"Cohaesibacter sp. ES.047",654
"Devosia beringensis",811
"Devosia ginsengisoli",812
"Devosia oryziradicis",614
"Devosia rhizoryzae",831
"Devosia salina",1241
"Devosia sp. 1566",798
"Devosia sp. A16",1622
"Devosia sp. I507",920
"Devosia sp. JXJ CY 41",768
"Devosia sp. MC521",542
"Devosia sp. SL43",941
"Maritalea myrionectae",644
"Paradevosia shaoguanensis",970
"Pelagibacterium halotolerans",816
"Youhaiella tibetensis",881
"Aquabacter sp. L1I39",1014
"Caenibius sp. WL",389
"Caenibius tardaugens",3841
"Filomicrobium Candidatus Filomicrobium marinum",420
"Hyphomicrobium denitrificans",1462
"Hyphomicrobium nitrativorans",688
"Hyphomicrobium sp. MC1",806
"Methyloceanibacter caenitepidi",528
"Methyloceanibacter sp. wino2",518
"Methyloligella sp. GL2",662
"Rhodomicrobium vannielii",788
"Rhodoplanes sp. Z2-YC6860",1878
"Kaistia sp. 32K",1332
"Pseudorhodoplanes sinuspersici",862
"Lichenihabitans psoromatis",358
"Lichenihabitans sp. PAMC28606",317
"Methylobacterium aquaticum",1399
"Methylobacterium brachiatum",1052
"Methylobacterium currus",985
"Methylobacterium durans",778
"Methylobacterium indicum",630
"Methylobacterium mesophilicum",746
"Methylobacterium nodulans",1184
"Methylobacterium organophilum",1082
"Methylobacterium oryzae",1581
"Methylobacterium phyllosphaerae",171
"Methylobacterium radiodurans",788
"Methylobacterium radiotolerans",840
"Methylobacterium sp. 17Sr1-1",704
"Methylobacterium sp. C1",276
"Methylobacterium sp. WL1",721
"Methylobacterium sp. XJLW",570
"Methylobacterium terrae",582
"Methylorubrum extorquens",2155
"Methylorubrum populi",1905
"Methylorubrum sp. B1-46",619
"Microvirga ossetica",1158
"Microvirga sp. 17 mud 1-3",562
"Microvirga sp. VF16",1124
"Microvirga thermotolerans",568
"Methylocystis bryophila",643
"Methylocystis heyeri",555
"Methylocystis parvus",706
"Methylocystis rosea",641
"Methylocystis sp. SB2",256
"Methylocystis sp. SC2",310
"Methylosinus sp. C49",683
"Methylosinus trichosporium",706
"Nordella sp. HKS 07",968
"Terrihabitans soli",666
"Candidatus Phaeomarinobacter ectocarpi",332
"Kaustia mangrovi",900
"Parvibaculum lavamentivorans",2130
"Pyruvatibacter mobilis",721
"Phreatobacter cathodiphilus",1085
"Phreatobacter sp. NMCR1094",744
"Phreatobacter stygius",907
"Aminobacter aminovorans",418
"Aminobacter sp. MDW-2",983
"Aminobacter sp. MSH1",1933
"Aminobacter sp. SR38",2861
"Aquibium microcysteis",972
"Aquibium oceanicum",685
"Hoeflea phototrophica",517
"Hoeflea sp. IMCC20628",678
"Lentilitoribacter sp. Alg239-R112",304
"Mesorhizobium amorphae",566
"Mesorhizobium australicum",429
"Mesorhizobium ciceri",688
"Mesorhizobium erdmanii",554
"Mesorhizobium huakuii",643
"Mesorhizobium japonicum",540
"Mesorhizobium loti",2401
"Mesorhizobium opportunistum",577
"Mesorhizobium sp. 113-1-2",569
"Mesorhizobium sp. 113-3-3",631
"Mesorhizobium sp. 113-3-9",413
"Mesorhizobium sp. 131-2-1",943
"Mesorhizobium sp. 131-2-5",162
"Mesorhizobium sp. 131-3-5",203
"Mesorhizobium sp. 8",1405
"Mesorhizobium sp. AA22",303
"Mesorhizobium sp. B1-1-8",785
"Mesorhizobium sp. B2-1-1",667
"Mesorhizobium sp. B2-1-8",510
"Mesorhizobium sp. B2-8-5",894
"Mesorhizobium sp. B4-1-4",496
"Mesorhizobium sp. DCY119",1008
"Mesorhizobium sp. INR15",802
"Mesorhizobium sp. J8",629
"Mesorhizobium sp. L-2-11",551
"Mesorhizobium sp. L-8-10",815
"Mesorhizobium sp. L-8-3",867
"Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1",744
"Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1",918
"Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1",1028
"Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1",908
"Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1",469
"Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1",643
"Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1",794
"Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1",776
"Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1",1255
"Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1",594
"Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1",550
"Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1",685
"Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1",668
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2",1060
"Mesorhizobium sp. NBSH29",709
"Mesorhizobium sp. NZP2077",555
"Mesorhizobium sp. NZP2298",336
"Mesorhizobium sp. PAMC28654",658
"Mesorhizobium sp. Pch-S",1159
"Mesorhizobium sp. WSM1497",224
"Mesorhizobium terrae",1726
"Nitratireductor kimnyeongensis",656
"Nitratireductor sp. OM-1",980
"Nitratireductor sp. SY7",779
"Oricola thermophila",646
"Phyllobacterium sp. 628",634
"Phyllobacterium sp. T1018",502
"Phyllobacterium sp. T1293",571
"Phyllobacterium zundukense",638
"Roseitalea porphyridii",556
"Salaquimonas pukyongi",444
"Hartmannibacter diazotrophicus",1044
"Agrobacterium fabacearum",258
"Agrobacterium fabrum",800
"Agrobacterium larrymoorei",833
"Agrobacterium rhizogenes",3197
"Agrobacterium rubi",773
"Agrobacterium salinitolerans",555
"Agrobacterium sp. CGMCC 11546",50
"Agrobacterium sp. MA01",245
"Agrobacterium sp. RAC06",383
"Agrobacterium sp. S7/73",294
"Agrobacterium sp. T29",513
"Agrobacterium tumefaciens",8959
"Agrobacterium vaccinii",1098
"Agrobacterium vitis",2509
"Ciceribacter thiooxidans",796
"Ensifer adhaerens",3686
"Ensifer alkalisoli",645
"Ensifer mexicanus",684
"Ensifer sojae",501
"Ensifer sp. PDNC004",709
"Ensifer sp. T173",474
"Georhizobium profundi",1009
"Liberibacter Candidatus Liberibacter africanus",18
"Liberibacter Candidatus Liberibacter americanus",74
"Liberibacter Candidatus Liberibacter asiaticus",35
"Liberibacter Candidatus Liberibacter solanacearum",36
"Liberibacter crescens",50
"Neorhizobium galegae",2265
"Neorhizobium sp. NCHU2750",2465
"Neorhizobium sp. SOG26",574
"Peteryoungia desertarenae",553
"Pseudorhizobium banfieldiae",450
"Pseudorhizobium flavum",472
"Rhizobium acidisoli",411
"Rhizobium bangladeshense",651
"Rhizobium binae",494
"Rhizobium daejeonense",1088
"Rhizobium etli",2629
"Rhizobium gallicum",932
"Rhizobium hidalgonense",360
"Rhizobium indicum",514
"Rhizobium jaguaris",943
"Rhizobium laguerreae",95
"Rhizobium leguminosarum",6341
"Rhizobium lentis",664
"Rhizobium oryzihabitans",1104
"Rhizobium phaseoli",2369
"Rhizobium pseudoryzae",888
"Rhizobium pusense",5855
"Rhizobium rhizoryzae",2349
"Rhizobium rosettiformans",1729
"Rhizobium ruizarguesonis",1125
"Rhizobium sp. 007",226
"Rhizobium sp. 11515TR",702
"Rhizobium sp. AB2/73",1352
"Rhizobium sp. ACO-34A",1114
"Rhizobium sp. B230/85",156
"Rhizobium sp. BG4",1129
"Rhizobium sp. C104",747
"Rhizobium sp. CIAT894",595
"Rhizobium sp. IE4771",699
"Rhizobium sp. K102",787
"Rhizobium sp. Kim5",668
"Rhizobium sp. L51/94",1210
"Rhizobium sp. NIBRBAC000502774",327
"Rhizobium sp. NLR16a",311
"Rhizobium sp. NXC14",530
"Rhizobium sp. NXC24",858
"Rhizobium sp. NZLR1",523
"Rhizobium sp. SL42",878
"Rhizobium sp. TAL182",308
"Rhizobium sp. WL3",750
"Rhizobium sp. WYJ-E13",954
"Rhizobium sp. X9",1382
"Rhizobium sp. Y9",387
"Rhizobium sp. ZX09",878
"Rhizobium tropici",959
"Shinella sp. H4-D48",690
"Shinella sp. HZN7",3232
"Shinella sp. PSBB067",1593
"Shinella sp. XGS7",2606
"Shinella zoogloeoides",1569
"Sinorhizobium americanum",611
"Sinorhizobium fredii",2795
"Sinorhizobium medicae",810
"Sinorhizobium meliloti",2153
"Sinorhizobium sp. BG8",762
"Sinorhizobium sp. CCBAU 05631",83
"Candidatus Hodgkinia cicadicola",102
"Labrenzia sp. PHM005",476
"Labrenzia sp. THAF82",650
"Labrenzia sp. VG12",529
"Pannonibacter phragmitetus",8400
"Pseudovibrio brasiliensis",634
"Pseudovibrio sp. FO-BEG1",460
"Roseibium aggregatum",2328
"Roseibium alexandrii",553
"Stappia indica",893
"Stappia sp. ES.058",732
"Ancylobacter pratisalsi",844
"Ancylobacter sp. TS-1",829
"Azorhizobium caulinodans",1172
"Labrys sp. KNU-23",1032
"Pseudolabrys sp. FHR47",786
"Pseudolabrys taiwanensis",852
"Starkeya novella",1045
"Starkeya sp. ORNL1",1096
"Xanthobacter autotrophicus",838
"Xanthobacter dioxanivorans",2232
"Xanthobacter sp. YC-JY1",470
"Candidatus Viadribacter manganicus",330
"Hirschia baltica",296
"Hyphomonas neptunium",403
"Hyphomonas sp. CACIAM 19H1",587
"Hyphomonas sp. KY3",433
"Hyphomonas sp. Mor2",252
"Kordiimonas pumila",208
"Magnetococcus marinus",426
"Candidatus Puniceispirillum marinum",264
"Glycocaulis alkaliphilus",464
"Hyphobacterium sp. CCMP332",784
"Maricaulis maris",406
"Marinicauda algicola",787
"Aquisalinus flavus",446
"Parvularcula bermudensis",248
"Candidatus Fonsibacter ubiquis",46
"Candidatus Pelagibacter giovannonii",128
"Candidatus Pelagibacter sp. FZCC0015",80
"Candidatus Pelagibacter sp. HIMB1321",74
"Candidatus Pelagibacter sp. IMCC9063",60
"Candidatus Pelagibacter sp. RS39",12
"Candidatus Pelagibacter sp. RS40",106
"Candidatus Pelagibacter ubique",87
"Aestuarium zhoushanense",725
"Brevirhabdus pacifica",841
"Cereibacter azotoformans",655
"Cereibacter sphaeroides",2822
"Cognatishimia activa",332
"Falsirhodobacter sp. PG104",951
"Frigidibacter mobilis",1262
"Fuscovulum blasticum",1113
"Gemmobacter aquarius",1055
"Haematobacter massiliensis",1150
"Monaibacterium sp. ALG8",555
"Pacificitalea manganoxidans",701
"Paracoccus aminophilus",4827
"Paracoccus aminovorans",1887
"Paracoccus contaminans",904
"Paracoccus denitrificans",2263
"Paracoccus jeotgali",1003
"Paracoccus kondratievae",1284
"Paracoccus liaowanqingii",908
"Paracoccus marcusii",368
"Paracoccus mutanolyticus",217
"Paracoccus pantotrophus",1495
"Paracoccus sanguinis",1036
"Paracoccus sp. AK26",947
"Paracoccus sp. Arc7-R13",347
"Paracoccus sp. H4-D09",1578
"Paracoccus sp. MA",1704
"Paracoccus sp. MC1862",853
"Paracoccus sp. S8-55",749
"Paracoccus suum",718
"Paracoccus tegillarcae",777
"Paracoccus yeei",3699
"Paracoccus zhejiangensis",1571
"Parasedimentitalea marina",428
"Paroceanicella profunda",1313
"Pelagovum pacificum",727
"Pikeienuella piscinae",1013
"Planktomarina temperata",220
"Polymorphum gilvum",969
"Pontivivens ytuae",866
"Profundibacter amoris",472
"Pseudohalocynthiibacter aestuariivivens",395
"Pseudooceanicola algae",373
"Pseudopuniceibacterium antarcticum",643
"Pseudorhodobacter turbinis",790
"Pukyongiella litopenaei",699
"Qingshengfaniella alkalisoli",424
"Rhodobaca barguzinensis",442
"Rhodobacter capsulatus",1312
"Rhodobacter sp. CZR27",722
"Rhodobacter sp. LPB0142",2081
"Rhodobacter sp. N10",1002
"Rhodophyticola sp. CCM32",324
"Rhodovulum sp. MB263",432
"Rhodovulum sp. P5",737
"Rhodovulum sulfidophilum",806
"Roseicitreum antarcticum",628
"Silicimonas algicola",548
"Tabrizicola piscis",1008
"Thioclava electrotropha",561
"Thioclava nitratireducens",685
"Tritonibacter mobilis",923
"Yoonia vestfoldensis",821
"Actibacterium sp. EMB200-NS6",743
"Antarctobacter heliothermus",542
"Celeribacter baekdonensis",651
"Celeribacter ethanolicus",795
"Celeribacter indicus",1738
"Celeribacter marinus",274
"Dinoroseobacter shibae",671
"Falsihalocynthiibacter arcticus",334
"Jannaschia sp. CCS1",502
"Jannaschia sp. J12C1-MA-4",572
"Ketogulonicigenium robustum",529
"Ketogulonicigenium vulgare",777
"Leisingera aquaemixtae",578
"Leisingera methylohalidivorans",466
"Leisingera sp. NJS201",281
"Leisingera sp. NJS204",261
"Mameliella alba",758
"Maribius sp. THAF1",492
"Oceanicola sp. D3",480
"Octadecabacter antarcticus",249
"Octadecabacter arcticus",211
"Octadecabacter sp. SW4",505
"Octadecabacter temperatus",218
"Phaeobacter gallaeciensis",2157
"Phaeobacter inhibens",1927
"Phaeobacter piscinae",582
"Phaeobacter porticola",343
"Phaeobacter sp. LSS9",16
"Roseibacterium elongatum",462
"Roseivivax marinus",607
"Roseivivax sp. THAF197b",84
"Roseivivax sp. THAF30",854
"Roseobacter denitrificans",631
"Roseobacter litoralis",281
"Roseobacter ponti",414
"Roseovarius faecimaris",464
"Roseovarius indicus",995
"Roseovarius mucosus",160
"Roseovarius sp. SCSIO 43702",634
"Roseovarius sp. THAF27",142
"Roseovarius sp. THAF8",218
"Roseovarius sp. THAF9",661
"Roseovarius sp. TM1035",102
"Ruegeria pomeroyi",506
"Ruegeria sp. AD91A",268
"Ruegeria sp. SCSIO 43209",400
"Ruegeria sp. THAF33",460
"Ruegeria sp. TM1040",387
"Sagittula sp. P11",1021
"Salipiger abyssi",1518
"Salipiger profundus",1330
"Salipiger sp. CCB-MM3",725
"Sulfitobacter alexandrii",776
"Sulfitobacter mediterraneus",726
"Sulfitobacter pontiacus",119
"Sulfitobacter pseudonitzschiae",1792
"Sulfitobacter sp. B30-2",67
"Sulfitobacter sp. BSw21498",323
"Sulfitobacter sp. CB2047",80
"Sulfitobacter sp. D7",575
"Sulfitobacter sp. JK7-1",564
"Sulfitobacter sp. JL08",416
"Sulfitobacter sp. SK011",274
"Sulfitobacter sp. SK012",450
"Sulfitobacter sp. SK025",48
"Sulfitobacter sp. THAF37",757
"Tateyamaria omphalii",382
"Thalassobius gelatinovorus",436
"Thalassococcus sp. S3",488
"Yangia pacifica",678
"Acetobacter aceti",1643
"Acetobacter ascendens",307
"Acetobacter ghanensis",352
"Acetobacter orientalis",385
"Acetobacter oryzoeni",41
"Acetobacter pasteurianus",748
"Acetobacter persici",561
"Acetobacter senegalensis",95
"Acetobacter sp. KACC 21233",397
"Acetobacter tropicalis",270
"Acidibrevibacterium fodinaquatile",622
"Acidiphilium cryptum",131
"Acidiphilium multivorum",1223
"Asaia bogorensis",588
"Bombella sp. KACC 21507",228
"Commensalibacter sp. AMU001",62
"Entomobacter blattae",138
"Gluconacetobacter diazotrophicus",592
"Gluconobacter albidus",722
"Gluconobacter frateurii",481
"Gluconobacter oxydans",838
"Gluconobacter sphaericus",321
"Gluconobacter thailandicus",79
"Granulibacter bethesdensis",982
"Komagataeibacter europaeus",345
"Komagataeibacter medellinensis",586
"Komagataeibacter nataicola",385
"Komagataeibacter oboediens",755
"Komagataeibacter rhaeticus",55
"Komagataeibacter saccharivorans",579
"Komagataeibacter xylinus",1663
"Kozakia baliensis",388
"Lichenicola cladoniae",590
"Neoasaia chiangmaiensis",600
"Neokomagataea tanensis",182
"Novacetimonas hansenii",543
"Oecophyllibacter saccharovorans",240
"Parasaccharibacter apium",194
"Roseococcus microcysteis",1116
"Roseomonas gilardii",1129
"Roseomonas haemaphysalidis",1134
"Roseomonas marmotae",1110
"Roseomonas mucosa",674
"Roseomonas sp. FDAARGOS_362",117
"Roseomonas sp. OT10",1354
"Swingsia samuiensis",66
"Swingsia sp. F3b2",250
"Azospirillum baldaniorum",619
"Azospirillum brasilense",2905
"Azospirillum humicireducens",642
"Azospirillum lipoferum",625
"Azospirillum oryzae",1236
"Azospirillum ramasamyi",549
"Azospirillum sp. B510",734
"Azospirillum sp. TSA2s",1949
"Azospirillum sp. TSH100",838
"Azospirillum sp. TSH58",606
"Azospirillum thermophilum",1138
"Azospirillum thiophilum",795
"Indioceanicola profundi",842
"Nitrospirillum amazonense",1362
"Niveispirillum cyanobacteriorum",1017
"Skermanella mucosa",661
"Skermanella pratensis",374
"Skermanella rosea",877
"Skermanella sp. TT6",3889
"Elioraea tepida",584
"Candidatus Endolissoclinum faulkneri",90
"Defluviicoccus vanus",1195
"Ferrovibrio terrae",706
"Haematospirillum jordaniae",320
"Hypericibacter adhaerens",1008
"Hypericibacter terrae",796
"Magnetospirillum gryphiswaldense",954
"Magnetospirillum magneticum",844
"Magnetospirillum sp. ME-1",491
"Magnetospirillum sp. XM-1",608
"Pararhodospirillum photometricum",564
"Rhodospirillum centenum",819
"Rhodospirillum rubrum",830
"Tistrella mobilis",4518
"Stella humosa",1062
"Terasakiella sp. SH-1",360
"Magnetospira sp. QH-2",520
"Thalassospira indica",652
"Thalassospira marina",649
"Thalassospira sp. A40-3",396
"Thalassospira sp. B30-1",481
"Thalassospira xiamenensis",185
"Anaplasma ovis",26
"Anaplasma phagocytophilum",16
"Candidatus Neoehrlichia mikurensis",20
"Candidatus Neoehrlichia Rickettsiales endosymbiont of Stachyamoeba lipophora",100
"Ehrlichia canis",54
"Ehrlichia muris",32
"Ehrlichia ruminantium",304
"Ehrlichia sp. HF",10
"Neorickettsia findlayensis",58
"Neorickettsia helminthoeca",10
"Wolbachia Candidatus Wolbachia massiliensis",16
"Wolbachia endosymbiont of Cimex lectularius",63
"Wolbachia endosymbiont of Ctenocephalides felis wCfeJ",60
"Wolbachia endosymbiont of Ctenocephalides felis wCfeT",60
"Wolbachia endosymbiont of Dipetalonema caudispina",42
"Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis",34
"Wolbachia endosymbiont of Folsomia candida",88
"Wolbachia endosymbiont of Spodoptera picta",68
"Wolbachia pipientis",237
"Candidatus Deianiraea vastatrix",96
"Candidatus Midichloria mitochondrii",24
"Candidatus Phycorickettsia trachydisci",134
"Candidatus Sneabacter namystus",70
"Orientia tsutsugamushi",327
"Rickettsia akari",48
"Rickettsia asiatica",74
"Rickettsia bellii",169
"Rickettsia canadensis",12
"Rickettsia conorii",57
"Rickettsia prowazekii",86
"Rickettsia tillamookensis",112
"Rickettsia typhi",19
"Altererythrobacter epoxidivorans",263
"Altererythrobacter ishigakiensis",224
"Altererythrobacter sp. B11",648
"Altererythrobacter sp. BO-6",286
"Altererythrobacter sp. TH136",328
"Altererythrobacter sp. ZODW24",234
"Aurantiacibacter atlanticus",516
"Aurantiacibacter gangjinensis",388
"Croceibacterium atlanticum",491
"Croceicoccus marinus",1038
"Croceicoccus naphthovorans",1038
"Croceicoccus sp. Ery15",345
"Croceicoccus sp. Ery5",473
"Croceicoccus sp. YJ47",819
"Erythrobacter aureus",266
"Erythrobacter litoralis",731
"Erythrobacter mangrovi",330
"Erythrobacter neustonensis",363
"Erythrobacter sp. 3-20A1M",320
"Erythrobacter sp. A30-3",451
"Erythrobacter sp. HKB08",324
"Erythrobacter sp. HL-111",396
"Erythrobacter sp. JK5",386
"Erythrobacter sp. KY5",345
"Erythrobacter sp. LQ02-29",133
"Erythrobacter sp. SCSIO 43205",276
"Erythrobacter sp. SDW2",310
"Erythrobacter sp. THAF29",395
"Paraurantiacibacter namhicola",532
"Pelagerythrobacter marensis",308
"Porphyrobacter sp. CACIAM 03H1",362
"Porphyrobacter sp. GA68",1244
"Porphyrobacter sp. HT-58-2",328
"Porphyrobacter sp. LM 6",747
"Qipengyuania flava",1263
"Qipengyuania sediminis",472
"Qipengyuania seohaensis",326
"Qipengyuania soli",428
"Qipengyuania sp. 1NDH1",264
"Qipengyuania sp. 1NDH13",323
"Qipengyuania sp. 1NDW3",264
"Qipengyuania sp. 1XM2-8",321
"Tsuneonella amylolytica",458
"Tsuneonella dongtanensis",380
"Tsuneonella flava",339
"Tsuneonella mangrovi",322
"Allosphingosinicella indica",446
"Aquisediminimonas profunda",372
"Blastomonas fulva",447
"Blastomonas sp. RAC04",387
"Citromicrobium sp. JL477",613
"Hankyongella ginsenosidimutans",575
"Novosphingobium aromaticivorans",952
"Novosphingobium decolorationis",853
"Novosphingobium ginsenosidimutans",386
"Novosphingobium pentaromativorans",379
"Novosphingobium resinovorum",1846
"Novosphingobium sp. EMRT-2",1306
"Novosphingobium sp. ES2-1",533
"Novosphingobium sp. Gsoil 351",450
"Novosphingobium sp. KA1",504
"Novosphingobium sp. P6W",905
"Novosphingobium sp. PP1Y",238
"Novosphingobium sp. Sx8-5",1086
"Novosphingobium sp. THN1",612
"Novosphingopyxis iocasae",983
"Parasphingopyxis algicola",448
"Parasphingopyxis sp. CP4",233
"Parasphingorhabdus halotolerans",304
"Parasphingorhabdus litoris",278
"Parasphingorhabdus sp. JHSY0214",327
"Rhizorhabdus dicambivorans",2380
"Rhizorhabdus sp. MK52",420
"Rhizorhabdus wittichii",1959
"Sphingobium amiense",1233
"Sphingobium baderi",1841
"Sphingobium chlorophenolicum",779
"Sphingobium cloacae",1963
"Sphingobium fuliginis",353
"Sphingobium herbicidovorans",1239
"Sphingobium indicum",674
"Sphingobium phenoxybenzoativorans",1000
"Sphingobium sp. Cam5-1",2426
"Sphingobium sp. CAP-1",1068
"Sphingobium sp. EP60837",4674
"Sphingobium sp. KCTC 72723",429
"Sphingobium sp. LF-16",74
"Sphingobium sp. MI1205",1646
"Sphingobium sp. PAMC28499",203
"Sphingobium sp. RAC03",463
"Sphingobium sp. RSMS",619
"Sphingobium sp. SCG-1",400
"Sphingobium sp. SYK-6",1076
"Sphingobium sp. TKS",3729
"Sphingobium sp. YBL2",56
"Sphingobium sp. YG1",900
"Sphingobium xenophagum",879
"Sphingobium yanoikuyae",5695
"Sphingomonas aliaeris",439
"Sphingomonas alpina",1028
"Sphingomonas changnyeongensis",626
"Sphingomonas daechungensis",455
"Sphingomonas ginsengisoli An et al. 2013",542
"Sphingomonas hengshuiensis",816
"Sphingomonas insulae",463
"Sphingomonas koreensis",8449
"Sphingomonas lacunae",303
"Sphingomonas lutea",452
"Sphingomonas melonis",590
"Sphingomonas paeninsulae",542
"Sphingomonas panacis",636
"Sphingomonas panacisoli",456
"Sphingomonas paucimobilis",740
"Sphingomonas piscis",410
"Sphingomonas profundi",732
"Sphingomonas rhizophila",535
"Sphingomonas sabuli",404
"Sphingomonas sanguinis",609
"Sphingomonas sanxanigenens",1655
"Sphingomonas sediminicola",467
"Sphingomonas sinipercae",256
"Sphingomonas sp. AAP5",603
"Sphingomonas sp. AK-PDB1-5",648
"Sphingomonas sp. AP4-R1",804
"Sphingomonas sp. CL5.1",751
"Sphingomonas sp. Cra20",913
"Sphingomonas sp. DM2-R-LB4",717
"Sphingomonas sp. FARSPH",1346
"Sphingomonas sp. HDW15A",378
"Sphingomonas sp. HMP6",461
"Sphingomonas sp. HMP9",7112
"Sphingomonas sp. IC081",403
"Sphingomonas sp. KC8",521
"Sphingomonas sp. LK11",373
"Sphingomonas sp. LM7",688
"Sphingomonas sp. MM-1",1684
"Sphingomonas sp. NBWT7",647
"Sphingomonas sp. NIC1",597
"Sphingomonas sp. PAMC26645",5100
"Sphingomonas sp. S2-65",809
"Sphingomonas sp. S9-5",613
"Sphingomonas suaedae",460
"Sphingomonas taxi",649
"Sphingomonas xanthus",342
"Sphingopyxis alaskensis",300
"Sphingopyxis fribergensis",736
"Sphingopyxis granuli",1064
"Sphingopyxis lindanitolerans",604
"Sphingopyxis macrogoltabida",1917
"Sphingopyxis sp. 113P3",816
"Sphingopyxis sp. BSN-002",945
"Sphingopyxis sp. EG6",710
"Sphingopyxis sp. FD7",626
"Sphingopyxis sp. MG",120
"Sphingopyxis sp. OPL5",684
"Sphingopyxis sp. PAMC25046",777
"Sphingopyxis sp. QXT-31",792
"Sphingopyxis terrae",864
"Sphingorhabdus lacus",238
"Sphingorhabdus lutea",880
"Sphingorhabdus sp. M41",311
"Sphingorhabdus sp. SMR4y",564
"Sphingorhabdus sp. YGSMI21",410
"Sphingosinithalassobacter sp. CS137",492
"Sphingosinithalassobacter tenebrarum",601
"Tardibacter chloracetimidivorans",1051
"Polymorphobacter sp. PAMC 29334",409
"Polymorphobacter sp. PAMC 29362",463
"Sandaracinobacter sp. M6",542
"Sphingosinicella flava",309
"Sphingosinicella microcystinivorans",592
"Sphingosinicella sp. BN140058",719
"Zymomonas mobilis",818
"Achromobacter deleyi",1706
"Achromobacter denitrificans",2579
"Achromobacter insolitus",1116
"Achromobacter mucicolens",213
"Achromobacter pestifer",1550
"Achromobacter sp. 77",211
"Achromobacter sp. AONIH1",4176
"Achromobacter sp. B7",214
"Achromobacter sp. ES-001",514
"Achromobacter sp. MFA1 R4",730
"Achromobacter spanius",3567
"Achromobacter xylosoxidans",14817
"Advenella kashmirensis",501
"Advenella mimigardefordensis",408
"Alcaligenes aquatilis",693
"Alcaligenes faecalis",2673
"Alcaligenes sp. SORT26",278
"Basilea psittacipulmonis",124
"Bordetella avium",621
"Bordetella bronchialis",885
"Bordetella bronchiseptica",1655
"Bordetella flabilis",850
"Bordetella genomosp. 13",2503
"Bordetella genomosp. 6",196
"Bordetella genomosp. 8",732
"Bordetella genomosp. 9",763
"Bordetella hinzii",1113
"Bordetella holmesii",421
"Bordetella parapertussis",102
"Bordetella pertussis",284
"Bordetella petrii",3176
"Bordetella pseudohinzii",570
