"","MFMRCFS0322","MFMRCFS0422","MFMRCFS0522","MFMRCFS0622","MFMRCFS0722","MFMRCFS0822","MFMRCFS0922","MFMRCFS1022","MFMRCFS1122","MFMRCFS1222","MFMRCFS1322","MFMRCFS1422","MFMRCFS1522","MFMRCFS1622","MFMRCFS1722"
"Aurantimonas sp. HBX-1",144,42,54,30,76,36,166,94,42,40,50,22,24,0,0
"Aureimonas altamirensis",167,49,106,40,55,27,152,46,58,131,28,31,19,0,0
"Aureimonas mangrovi",114,44,80,30,60,30,68,34,44,76,32,12,32,17,0
"Aureimonas populi",145,56,93,44,26,33,103,34,38,145,45,22,24,12,0
"Aureimonas sp. AU20",174,21,80,60,79,38,166,85,44,55,62,19,25,34,0
"Aureimonas sp. OT7",587,203,438,237,504,203,465,518,151,240,395,100,137,0,0
"Aureimonas sp. SA4125",178,50,60,50,86,30,144,100,202,58,78,34,38,20,12
"Martelella endophytica",130,32,96,49,74,27,63,56,57,18,22,29,24,14,14
"Martelella lutilitoris",100,52,52,30,78,25,97,34,33,30,31,0,19,19,0
"Martelella mediterranea",259,86,176,110,138,73,250,129,67,54,97,26,44,0,30
"Martelella sp. AD-3",292,72,219,153,213,157,416,244,98,87,253,124,85,0,0
"Bartonella alsatica",0,0,0,0,0,0,49,11,0,0,17,0,0,38,20
"Bartonella ancashensis",0,14,20,0,0,0,0,0,0,0,0,0,0,21,0
"Bartonella apis",81,51,62,49,24,16,200,87,56,42,58,31,37,28,10
"Bartonella australis",0,0,0,0,0,0,0,0,20,12,0,0,0,0,0
"Bartonella bacilliformis",0,0,0,0,0,0,29,11,0,0,0,16,0,0,0
"Bartonella birtlesii",0,0,0,0,0,0,45,11,17,0,0,0,0,0,0
"Bartonella bovis",0,0,0,0,0,0,0,18,0,0,0,0,0,15,0
"Bartonella elizabethae",0,0,0,0,0,0,0,0,19,44,0,0,0,0,0
"Bartonella grahamii",0,0,0,0,16,0,13,19,22,20,10,0,0,0,0
"Bartonella henselae",0,0,0,0,0,0,68,0,21,13,0,31,0,30,25
"Bartonella kosoyi",0,0,0,0,0,0,42,0,20,0,0,0,0,0,0
"Bartonella krasnovii",0,0,0,24,0,17,23,34,21,16,11,0,32,17,0
"Bartonella quintana",0,10,0,0,21,0,67,0,10,18,10,13,0,14,0
"Bartonella schoenbuchensis",0,0,51,0,0,0,16,13,0,0,0,0,0,13,0
"Bartonella sp. 46A",0,13,0,0,0,0,13,0,0,0,14,23,0,0,0
"Bartonella sp. HY038",0,10,17,14,0,12,115,36,18,22,0,0,12,10,0
"Bartonella sp. WD16.2",18,0,0,0,0,0,41,0,0,0,15,0,0,0,0
"Bartonella tribocorum",20,0,0,0,0,15,35,64,0,0,38,0,0,27,0
"Bartonella vinsonii",16,25,0,20,0,0,29,16,15,0,0,0,0,0,0
"Beijerinckia indica",53,36,35,19,21,12,74,23,21,29,23,0,0,0,0
"Methylocella silvestris",71,40,42,32,46,40,132,63,16,26,50,26,0,0,0
"Methylocella tundrae",47,17,52,40,38,28,98,26,30,28,26,24,18,0,0
"Methylovirgula ligni",66,38,54,32,36,22,68,54,18,0,46,18,0,0,0
"Methylovirgula sp. HY1",74,10,48,26,44,52,64,30,36,24,22,16,16,20,0
"Blastochloris tepida",109,24,84,26,76,64,95,47,34,32,32,25,10,0,0
"Blastochloris viridis",144,35,62,35,39,24,98,54,36,20,33,30,0,0,0
"Bosea sp. ANAM02",114,34,78,37,95,28,906,60,45,199,49,27,24,15,0
"Bosea sp. AS-1",98,32,73,45,86,36,265,106,34,106,71,34,29,21,0
"Bosea sp. F3-2",185,70,122,56,91,27,442,111,84,184,77,41,22,19,13
"Bosea sp. PAMC 26642",137,47,103,36,73,53,189,72,37,70,49,32,16,28,22
"Bosea sp. RAC05",200,77,90,57,83,39,259,65,50,139,44,19,26,16,0
"Bosea sp. Tri-49",126,45,86,29,105,36,261,73,43,204,53,19,10,14,11
"Bosea vaviloviae",146,49,96,92,158,67,134,54,56,57,71,30,36,12,14
"Afipia carboxidovorans",102,0,58,0,0,0,80,0,0,0,0,0,0,0,0
"Afipia sp. GAS231",102,48,56,31,44,37,78,80,23,23,39,16,17,16,0
"Bradyrhizobium amphicarpaeae",51,28,43,31,47,20,112,43,14,32,18,14,16,0,0
"Bradyrhizobium arachidis",159,72,79,65,57,48,195,95,35,68,82,35,43,48,17
"Bradyrhizobium betae",191,85,112,90,112,30,224,92,69,39,50,37,0,31,0
"Bradyrhizobium canariense",438,345,370,198,289,120,534,254,128,190,207,129,113,61,0
"Bradyrhizobium cosmicum",89,34,57,16,43,34,115,95,24,40,54,30,24,10,16
"Bradyrhizobium daqingense",86,59,85,49,50,33,171,55,18,28,16,15,38,16,0
"Bradyrhizobium diazoefficiens",635,248,406,206,311,198,1042,296,240,208,186,162,105,138,85
"Bradyrhizobium erythrophlei",405,158,193,167,261,101,794,198,176,215,135,87,83,66,18
"Bradyrhizobium genosp. B",80,64,68,30,46,24,116,38,18,32,24,30,14,22,10
"Bradyrhizobium genosp. L",169,51,79,33,67,58,154,57,49,41,51,45,33,35,21
"Bradyrhizobium guangdongense",190,60,110,50,127,67,141,74,62,61,70,21,23,27,0
"Bradyrhizobium guangxiense",159,135,135,69,113,37,117,48,23,61,66,37,29,22,0
"Bradyrhizobium guangzhouense",136,19,94,43,93,52,210,104,56,41,83,0,27,19,0
"Bradyrhizobium icense",155,38,49,80,76,34,202,63,40,75,57,22,31,28,18
"Bradyrhizobium japonicum",199,79,184,62,192,79,206,125,142,81,100,56,52,27,40
"Bradyrhizobium lablabi",388,100,205,101,227,68,468,141,92,210,139,86,66,42,50
"Bradyrhizobium oligotrophicum",91,52,57,40,51,26,127,42,38,42,36,14,28,14,14
"Bradyrhizobium ottawaense",167,58,97,0,88,0,195,85,0,0,96,62,48,0,0
"Bradyrhizobium paxllaeri",98,73,43,37,39,51,232,45,106,80,38,10,18,0,0
"Bradyrhizobium quebecense",105,50,49,60,64,49,140,46,37,32,55,18,30,19,14
"Bradyrhizobium septentrionale",82,22,37,26,43,26,127,36,39,39,35,0,16,0,0
"Bradyrhizobium sp. 1(2017)",73,30,38,26,43,33,116,34,32,51,28,10,12,0,0
"Bradyrhizobium sp. 144S4",129,50,33,0,116,95,132,50,0,63,0,43,0,0,0
"Bradyrhizobium sp. 323S2",158,81,70,62,73,0,74,162,68,0,79,0,23,0,0
"Bradyrhizobium sp. 41S5",84,37,36,20,67,21,83,28,24,29,36,14,16,0,0
"Bradyrhizobium sp. 6(2017)",73,40,65,34,64,24,153,35,43,41,37,16,26,0,0
"Bradyrhizobium sp. A19",110,40,86,37,47,36,152,44,36,45,54,32,22,16,19
"Bradyrhizobium sp. BTAi1",155,91,89,66,105,46,193,117,71,58,98,29,35,0,23
"Bradyrhizobium sp. CCBAU 051011",134,22,81,45,37,36,321,57,26,100,61,16,55,0,0
"Bradyrhizobium sp. CCBAU 51753",130,61,82,45,76,30,205,55,47,80,38,32,43,15,0
"Bradyrhizobium sp. CCBAU 51765",43,17,32,19,43,0,108,42,31,22,18,0,32,30,0
"Bradyrhizobium sp. CCBAU 53338",116,38,69,69,40,48,172,51,45,68,31,36,31,0,0
"Bradyrhizobium sp. CCBAU 53340",187,78,118,86,110,39,165,58,64,57,26,31,23,0,0
"Bradyrhizobium sp. CCBAU 53351",179,45,116,55,62,20,185,52,17,49,48,44,24,24,0
"Bradyrhizobium sp. CCBAU 53421",100,24,74,45,45,52,161,45,39,45,20,18,20,12,18
"Bradyrhizobium sp. CCGE-LA001",69,40,38,22,39,22,59,30,24,33,20,18,30,45,29
"Bradyrhizobium sp. I71",66,20,37,24,40,19,83,38,21,22,23,29,18,0,0
"Bradyrhizobium sp. LCT2",49,25,0,0,40,139,51,0,24,0,0,0,0,0,0
"Bradyrhizobium sp. ORS 278",115,31,99,43,61,29,168,79,23,31,41,23,16,26,0
"Bradyrhizobium sp. ORS 285",129,57,88,39,69,38,139,66,76,46,64,25,20,0,0
"Bradyrhizobium sp. S2-11-2",39,35,21,12,11,31,102,27,16,35,28,14,0,0,0
"Bradyrhizobium sp. S2-11-4",24,18,25,23,19,34,75,0,0,23,14,11,12,0,0
"Bradyrhizobium sp. S2-20-1",37,0,30,10,60,15,65,13,33,25,0,0,12,0,0
"Bradyrhizobium sp. SG09",113,0,0,0,0,0,245,0,0,0,0,0,70,0,0
"Bradyrhizobium sp. SK17",131,60,89,60,98,45,237,71,46,50,61,27,19,17,0
"Bradyrhizobium sp. TM102",0,0,137,92,0,0,150,0,0,0,0,0,0,0,0
"Bradyrhizobium sp.",250,73,57,37,0,0,87,76,165,141,99,54,161,0,0
"Bradyrhizobium symbiodeficiens",121,41,56,39,56,43,137,49,20,33,59,20,25,16,16
"Bradyrhizobium vignae",88,50,66,46,60,18,90,60,38,24,38,18,12,0,10
"Bradyrhizobium zhanjiangense",96,22,72,44,70,30,120,42,30,22,34,16,18,0,0
"Nitrobacter hamburgensis",79,35,68,34,46,26,70,69,28,20,52,10,12,12,0
"Nitrobacter winogradskyi",58,23,50,12,22,25,59,36,14,12,20,20,0,0,0
"Rhodopseudomonas boonkerdii",167,67,96,90,105,63,202,119,53,50,71,54,33,0,0
"Rhodopseudomonas palustris",497,184,352,264,391,140,547,277,193,137,220,130,170,98,56
"Rhodopseudomonas sp. SK50-23",110,33,55,34,62,31,174,20,34,53,24,17,21,20,0
"Tardiphaga robiniae",75,0,48,26,41,14,46,49,20,26,32,0,0,0,0
"Tardiphaga sp. 37S4",105,84,77,54,70,72,73,75,63,38,79,50,0,0,0
"Tardiphaga sp. vice154",130,0,52,0,0,0,0,0,0,0,0,0,0,0,0
"Tardiphaga sp. vice278",0,0,0,0,0,0,122,0,0,0,0,0,0,0,0
"Tardiphaga sp. vice352",0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
"Variibacter gotjawalensis",108,34,56,48,42,28,160,60,34,54,38,12,18,0,0
"Breoghania sp. L-A4",114,58,92,46,104,98,112,84,32,38,70,48,24,0,0
"Brucella [Ochrobactrum] quorumnocens",67,39,53,81,32,51,286,42,133,265,49,27,29,28,0
"Brucella anthropi",683,481,650,271,516,361,1237,530,639,1391,308,216,136,100,0
"Brucella inopinata",0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
"Brucella intermedia",90,23,110,54,53,32,184,63,81,235,52,39,13,25,13
"Brucella melitensis",0,0,0,0,0,0,0,0,231,0,0,0,0,0,0
"Brucella pinnipedialis",0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
"Brucella pituitosa",99,31,0,0,0,50,154,62,253,467,47,0,0,0,0
"Brucella pseudogrignonensis",77,48,37,60,72,42,522,43,1236,2377,37,60,0,51,30
"Brucella sp. 09RB8471",0,0,0,0,61,0,42,0,0,0,0,0,0,0,0
"Brucella sp. 09RB8910",0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
"Brucella sp. 10RB9215",0,0,0,0,0,0,23,47,0,0,0,24,0,0,0
"Brucella sp. 458",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
"Brucella sp. 6810",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
"Brucella sp. BO3",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Brucella sp. BTU1",103,50,39,34,32,0,132,43,175,330,40,0,37,0,0
"Pseudochrobactrum algeriensis",61,19,27,0,27,0,63,39,37,64,33,26,0,24,0
"Pseudochrobactrum sp. Wa41.01b-1",37,28,18,25,20,0,43,38,29,109,0,0,22,0,0
"Pseudochrobactrum sp. XF203",26,33,32,17,26,30,30,25,41,104,39,0,0,0,0
"Chelatococcus daeguensis",74,79,100,19,64,50,100,16,51,42,29,28,15,0,0
"Chelatococcus sp. CO-6",129,29,109,51,87,51,132,70,25,24,61,52,23,22,0
"Cohaesibacter sp. ES.047",84,40,70,32,44,36,84,54,92,30,46,0,22,10,10
"Devosia beringensis",90,26,83,42,54,41,221,43,48,71,32,20,28,12,0
"Devosia ginsengisoli",99,28,59,57,43,18,230,48,49,97,30,28,16,0,10
"Devosia oryziradicis",73,32,63,36,63,32,149,19,26,61,24,16,20,0,0
"Devosia rhizoryzae",88,55,61,18,52,27,239,43,43,113,20,12,12,32,16
"Devosia salina",160,39,57,42,46,84,416,54,53,163,50,25,38,14,0
"Devosia sp. 1566",151,52,88,47,27,15,135,43,37,67,64,17,27,28,0
"Devosia sp. A16",124,72,146,56,108,54,592,74,66,146,100,24,40,20,0
"Devosia sp. I507",81,44,28,20,34,44,346,62,51,112,33,12,20,16,17
"Devosia sp. JXJ CY 41",104,40,37,40,55,27,234,67,35,58,36,16,19,0,0
"Devosia sp. MC521",108,19,20,32,27,27,129,61,26,24,34,11,0,24,0
"Devosia sp. SL43",100,68,111,28,92,11,238,77,23,72,64,21,21,15,0
"Maritalea myrionectae",30,0,16,16,20,26,88,26,64,42,20,26,24,150,96
"Paradevosia shaoguanensis",175,59,113,59,72,37,165,83,37,35,50,26,24,19,16
"Pelagibacterium halotolerans",89,56,66,18,85,34,114,39,37,195,41,10,20,12,0
"Youhaiella tibetensis",141,41,82,44,79,28,134,75,59,45,79,24,22,28,0
"Aquabacter sp. L1I39",140,100,96,48,110,28,146,92,34,56,68,36,24,36,0
"Caenibius sp. WL",63,30,48,43,46,13,42,26,16,22,13,17,10,0,0
"Caenibius tardaugens",492,137,265,183,344,293,1317,279,188,66,163,114,0,0,0
"Filomicrobium Candidatus Filomicrobium marinum",74,40,30,30,24,20,58,32,24,34,18,26,10,0,0
"Hyphomicrobium denitrificans",215,72,148,75,144,62,259,188,46,39,104,25,41,30,14
"Hyphomicrobium nitrativorans",108,14,54,34,62,30,130,42,32,82,20,22,26,14,18
"Hyphomicrobium sp. MC1",212,34,33,28,62,28,107,66,74,26,38,34,22,26,16
"Methyloceanibacter caenitepidi",90,35,36,26,55,22,79,43,14,26,32,34,36,0,0
"Methyloceanibacter sp. wino2",87,42,45,37,58,17,56,54,29,0,37,21,15,20,0
"Methyloligella sp. GL2",80,18,54,40,58,24,136,44,66,42,28,12,42,18,0
"Rhodomicrobium vannielii",90,64,64,18,34,36,154,82,40,44,68,60,18,16,0
"Rhodoplanes sp. Z2-YC6860",234,74,126,52,134,102,480,98,118,158,94,58,86,34,30
"Kaistia sp. 32K",166,70,76,76,98,74,304,70,50,136,80,30,30,54,18
"Pseudorhodoplanes sinuspersici",124,34,72,46,80,24,196,36,44,98,24,18,28,22,16
"Lichenihabitans psoromatis",43,25,58,33,46,35,18,25,13,14,22,26,0,0,0
"Lichenihabitans sp. PAMC28606",58,30,69,16,23,22,63,20,16,0,0,0,0,0,0
"Methylobacterium aquaticum",210,81,118,76,148,66,180,119,80,55,115,53,75,23,0
"Methylobacterium brachiatum",155,35,109,34,128,47,162,97,56,25,64,80,40,20,0
"Methylobacterium currus",109,59,81,52,126,66,127,104,45,45,64,53,33,21,0
"Methylobacterium durans",150,40,52,38,60,42,134,72,16,26,58,46,30,14,0
"Methylobacterium indicum",96,32,40,37,110,23,77,45,33,12,39,29,31,0,26
"Methylobacterium mesophilicum",114,40,76,66,85,36,83,61,31,20,46,37,33,0,18
"Methylobacterium nodulans",216,68,92,44,126,56,192,76,42,56,70,24,54,42,26
"Methylobacterium organophilum",299,85,63,61,61,53,149,71,53,57,70,19,25,16,0
"Methylobacterium oryzae",271,55,77,178,192,27,280,64,43,131,147,33,22,61,0
"Methylobacterium phyllosphaerae",0,0,27,0,0,0,28,75,0,0,41,0,0,0,0
"Methylobacterium radiodurans",170,40,58,46,40,50,110,106,26,30,56,24,20,12,0
"Methylobacterium radiotolerans",137,0,42,53,121,114,172,146,0,0,55,0,0,0,0
"Methylobacterium sp. 17Sr1-1",87,32,62,36,43,25,110,71,56,37,59,18,34,18,16
"Methylobacterium sp. C1",73,32,36,0,0,0,135,0,0,0,0,0,0,0,0
"Methylobacterium sp. WL1",134,38,92,30,68,20,123,46,58,32,38,25,17,0,0
"Methylobacterium sp. XJLW",180,167,223,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacterium terrae",106,22,52,33,58,33,94,67,0,24,43,24,12,14,0
"Methylorubrum extorquens",437,145,203,93,202,100,237,172,108,79,153,79,75,45,27
"Methylorubrum populi",414,110,144,51,185,81,273,198,79,54,131,59,60,46,20
"Methylorubrum sp. B1-46",77,40,64,26,80,16,69,70,48,22,53,17,26,11,0
"Microvirga ossetica",164,92,114,56,80,54,233,72,47,138,48,20,30,10,0
"Microvirga sp. 17 mud 1-3",86,33,59,44,30,28,79,52,24,21,32,26,14,21,13
"Microvirga sp. VF16",148,62,110,68,50,52,179,70,162,69,50,36,40,18,10
"Microvirga thermotolerans",116,44,68,32,38,18,100,26,22,16,48,20,20,0,0
"Methylocystis bryophila",118,40,31,31,42,25,125,87,22,19,71,15,0,17,0
"Methylocystis heyeri",78,43,78,42,64,22,96,38,20,18,19,23,14,0,0
"Methylocystis parvus",113,55,63,50,74,26,75,72,24,12,63,20,21,20,18
"Methylocystis rosea",157,14,64,44,92,26,79,82,25,21,16,21,0,0,0
"Methylocystis sp. SB2",56,32,24,0,0,29,48,33,0,0,34,0,0,0,0
"Methylocystis sp. SC2",69,26,42,14,13,15,39,30,11,14,19,18,0,0,0
"Methylosinus sp. C49",134,39,60,35,77,25,91,62,30,13,61,28,28,0,0
"Methylosinus trichosporium",66,41,44,24,43,56,140,59,69,30,49,38,22,15,10
"Nordella sp. HKS 07",148,34,92,40,82,36,226,58,42,88,48,30,30,14,0
"Terrihabitans soli",96,34,92,38,22,18,136,54,28,66,42,18,12,10,0
"Candidatus Phaeomarinobacter ectocarpi",40,22,22,16,24,16,54,28,34,34,18,12,12,0,0
"Kaustia mangrovi",162,32,114,44,122,46,100,78,34,24,64,30,32,18,0
"Parvibaculum lavamentivorans",445,75,367,121,249,40,206,192,32,23,186,95,67,32,0
"Pyruvatibacter mobilis",86,25,101,39,63,40,121,35,44,40,47,31,28,21,0
"Phreatobacter cathodiphilus",181,54,70,52,89,92,226,67,44,46,72,38,28,16,10
"Phreatobacter sp. NMCR1094",132,30,69,38,74,30,146,39,42,44,36,22,28,14,0
"Phreatobacter stygius",136,54,78,48,82,38,168,69,36,74,46,42,26,10,0
"Aminobacter aminovorans",113,0,0,0,79,0,105,56,0,65,0,0,0,0,0
"Aminobacter sp. MDW-2",270,0,202,354,0,0,157,0,0,0,0,0,0,0,0
"Aminobacter sp. MSH1",310,148,206,57,116,93,307,229,34,105,119,72,70,23,44
"Aminobacter sp. SR38",493,0,485,147,231,0,229,345,159,104,350,213,0,105,0
"Aquibium microcysteis",146,59,82,34,59,62,163,88,36,118,61,30,18,16,0
"Aquibium oceanicum",122,41,78,30,70,35,83,41,20,69,29,16,51,0,0
"Hoeflea phototrophica",94,47,42,45,19,10,89,42,40,18,37,14,20,0,0
"Hoeflea sp. IMCC20628",100,47,67,42,70,16,52,98,23,20,75,29,23,16,0
"Lentilitoribacter sp. Alg239-R112",22,14,16,14,0,0,38,30,66,28,16,10,14,24,12
"Mesorhizobium amorphae",79,37,48,22,73,31,82,37,23,43,10,18,19,27,17
"Mesorhizobium australicum",82,41,32,32,52,0,63,36,26,35,0,0,30,0,0
"Mesorhizobium ciceri",125,58,61,39,41,17,95,44,28,49,48,50,33,0,0
"Mesorhizobium erdmanii",87,47,40,26,30,38,112,30,29,28,33,22,19,13,0
"Mesorhizobium huakuii",150,21,48,36,73,24,69,52,42,24,28,20,34,22,0
"Mesorhizobium japonicum",86,25,63,96,28,19,64,41,26,30,26,36,0,0,0
"Mesorhizobium loti",301,127,334,72,204,289,331,162,164,172,97,23,0,85,40
"Mesorhizobium opportunistum",72,36,52,58,44,24,80,73,0,28,21,40,37,12,0
"Mesorhizobium sp. 113-1-2",73,24,21,37,61,13,116,39,65,50,37,19,14,0,0
"Mesorhizobium sp. 113-3-3",145,30,57,31,24,15,81,64,34,33,45,32,27,13,0
"Mesorhizobium sp. 113-3-9",84,25,21,29,19,22,91,23,25,48,0,26,0,0,0
"Mesorhizobium sp. 131-2-1",190,50,69,34,77,55,171,56,50,95,54,27,0,15,0
"Mesorhizobium sp. 131-2-5",0,0,0,0,0,0,162,0,0,0,0,0,0,0,0
"Mesorhizobium sp. 131-3-5",119,0,0,0,0,0,43,0,0,41,0,0,0,0,0
"Mesorhizobium sp. 8",152,106,273,52,196,50,218,58,52,150,50,14,34,0,0
"Mesorhizobium sp. AA22",37,21,36,17,10,27,57,19,13,27,0,11,11,17,0
"Mesorhizobium sp. B1-1-8",127,36,60,46,56,30,144,46,48,74,40,28,22,16,12
"Mesorhizobium sp. B2-1-1",95,41,89,41,58,20,110,33,51,47,22,18,0,27,15
"Mesorhizobium sp. B2-1-8",66,41,52,35,58,27,82,16,31,43,14,10,35,0,0
"Mesorhizobium sp. B2-8-5",129,18,71,28,53,160,195,57,39,61,41,26,16,0,0
"Mesorhizobium sp. B4-1-4",87,22,49,37,43,10,102,31,22,41,16,10,10,16,0
"Mesorhizobium sp. DCY119",125,48,65,30,83,25,219,62,42,204,47,26,18,14,0
"Mesorhizobium sp. INR15",149,42,55,38,48,67,154,44,38,87,20,28,18,14,0
"Mesorhizobium sp. J8",93,40,34,32,46,30,105,24,34,89,24,16,32,14,16
"Mesorhizobium sp. L-2-11",71,34,71,21,34,30,113,50,12,58,15,22,20,0,0
"Mesorhizobium sp. L-8-10",63,35,65,43,41,73,158,80,56,168,33,0,0,0,0
"Mesorhizobium sp. L-8-3",123,41,87,0,85,81,142,75,73,112,48,0,0,0,0
"Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1",89,28,51,47,68,22,172,75,22,51,49,37,19,14,0
"Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1",116,50,72,62,60,55,142,87,43,78,57,43,32,21,0
"Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1",86,64,125,76,25,34,179,122,35,87,90,41,45,19,0
"Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1",128,27,99,76,76,24,155,77,35,84,58,34,35,0,0
"Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1",123,43,46,0,48,0,76,43,0,61,29,0,0,0,0
"Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1",54,46,170,22,103,44,77,32,19,20,18,19,0,19,0
"Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1",62,42,55,0,70,0,144,0,79,29,36,43,66,96,72
"Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1",111,50,95,20,85,13,111,78,26,92,36,30,29,0,0
"Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1",115,91,183,52,248,28,112,72,65,90,88,32,55,24,0
"Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1",83,36,49,33,45,17,114,73,20,44,32,19,17,0,12
"Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1",86,23,45,26,34,22,49,107,21,33,37,22,27,18,0
"Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1",128,47,48,47,40,34,108,45,36,70,36,33,0,13,0
"Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1",98,28,22,22,67,36,149,59,42,47,45,22,15,16,0
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2",152,72,92,68,82,64,170,80,69,70,49,57,35,0,0
"Mesorhizobium sp. NBSH29",117,38,62,44,54,60,112,24,30,78,28,24,26,12,0
"Mesorhizobium sp. NZP2077",101,26,91,30,44,11,95,35,11,23,35,22,18,13,0
"Mesorhizobium sp. NZP2298",31,13,42,0,27,24,75,24,22,33,15,14,16,0,0
"Mesorhizobium sp. PAMC28654",82,39,63,20,67,24,105,67,36,48,45,28,20,14,0
"Mesorhizobium sp. Pch-S",165,19,74,31,63,47,179,63,175,155,63,42,29,41,13
"Mesorhizobium sp. WSM1497",0,37,0,0,0,0,52,63,0,0,72,0,0,0,0
"Mesorhizobium terrae",387,76,187,108,127,80,262,112,35,109,94,68,38,0,43
"Nitratireductor kimnyeongensis",84,30,54,58,54,55,137,36,32,25,36,19,24,12,0
"Nitratireductor sp. OM-1",137,61,77,45,120,47,146,93,42,67,64,27,18,24,12
"Nitratireductor sp. SY7",132,46,78,36,40,46,118,58,36,77,34,40,18,20,0
"Oricola thermophila",124,33,35,18,80,37,88,78,27,20,58,30,18,0,0
"Phyllobacterium sp. 628",85,32,46,32,60,32,85,57,40,49,41,31,12,32,0
"Phyllobacterium sp. T1018",78,20,29,16,40,18,75,59,14,46,40,25,16,16,10
"Phyllobacterium sp. T1293",62,41,55,18,43,15,129,40,35,41,35,0,26,15,16
"Phyllobacterium zundukense",79,42,69,36,64,49,88,46,39,41,44,28,0,13,0
"Roseitalea porphyridii",88,26,74,30,48,16,80,32,28,28,32,36,24,14,0
"Salaquimonas pukyongi",68,32,48,26,58,12,62,32,30,16,32,14,14,0,0
"Hartmannibacter diazotrophicus",104,64,96,58,104,50,184,124,52,18,88,30,38,34,0
"Agrobacterium fabacearum",42,44,50,50,0,0,45,0,27,0,0,0,0,0,0
"Agrobacterium fabrum",116,52,79,53,38,0,122,88,54,55,83,0,45,15,0
"Agrobacterium larrymoorei",97,45,64,37,60,23,144,70,87,78,65,30,33,0,0
"Agrobacterium rhizogenes",1005,632,170,146,175,30,257,238,33,46,134,259,0,72,0
"Agrobacterium rubi",121,60,60,33,44,0,140,73,88,48,69,37,0,0,0
"Agrobacterium salinitolerans",67,22,54,40,42,44,102,61,38,42,27,16,0,0,0
"Agrobacterium sp. CGMCC 11546",31,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Agrobacterium sp. MA01",24,0,0,0,23,0,56,87,0,0,55,0,0,0,0
"Agrobacterium sp. RAC06",118,24,85,32,23,22,35,0,44,0,0,0,0,0,0
"Agrobacterium sp. S7/73",118,0,0,0,0,0,63,62,0,0,0,0,51,0,0
"Agrobacterium sp. T29",87,27,63,28,47,0,68,23,40,41,21,53,15,0,0
"Agrobacterium tumefaciens",1275,385,860,438,600,335,1635,562,796,840,426,270,242,164,131
"Agrobacterium vaccinii",129,40,117,62,99,52,157,90,142,67,55,32,43,13,0
"Agrobacterium vitis",360,166,219,134,175,115,387,178,209,150,128,75,71,80,62
"Ciceribacter thiooxidans",125,38,94,49,46,10,160,100,25,36,42,30,23,18,0
"Ensifer adhaerens",492,197,377,190,294,177,680,215,252,392,173,84,73,56,34
"Ensifer alkalisoli",130,33,48,40,48,48,95,46,31,28,33,29,36,0,0
"Ensifer mexicanus",121,34,51,35,74,22,108,47,20,30,47,29,30,24,12
"Ensifer sojae",90,22,43,27,57,22,98,42,11,35,11,28,15,0,0
"Ensifer sp. PDNC004",157,34,71,33,77,21,111,51,29,62,38,0,25,0,0
"Ensifer sp. T173",79,65,112,0,69,0,89,0,0,30,30,0,0,0,0
"Georhizobium profundi",210,57,61,56,102,36,164,73,70,31,30,45,21,34,19
"Liberibacter Candidatus Liberibacter africanus",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"Liberibacter Candidatus Liberibacter americanus",0,10,0,0,0,0,32,0,10,0,12,10,0,0,0
"Liberibacter Candidatus Liberibacter asiaticus",0,0,0,0,0,0,0,0,0,10,12,0,13,0,0
"Liberibacter Candidatus Liberibacter solanacearum",0,0,0,0,0,0,22,0,14,0,0,0,0,0,0
"Liberibacter crescens",0,0,0,0,0,0,20,0,14,16,0,0,0,0,0
"Neorhizobium galegae",350,129,208,66,136,116,404,177,160,181,155,50,45,61,27
"Neorhizobium sp. NCHU2750",269,58,189,82,111,66,459,167,430,362,131,41,43,29,28
"Neorhizobium sp. SOG26",88,23,48,19,48,12,97,54,59,58,33,19,16,0,0
"Peteryoungia desertarenae",98,35,50,25,62,35,72,69,16,26,29,12,12,12,0
"Pseudorhizobium banfieldiae",76,36,47,33,38,21,61,40,14,30,29,11,14,0,0
